13.09,2.68,2.7,-3.07,-16.1,0.31,0,-0.81,1020.09,0.33,0.2,0.47,1.24,1.31,1.31,23,19,26.78,24.12,24.09,1.99,888.15,-24.18,-9.74,0.3,5.23,6.73,0,0,20.2,10.8,4.1,2.8,2.8,-0.722222222
11.66,1.87,1.9,-2.18,-16.09,-3.9,0,-3.54,1022.33,0.29,0.23,0.32,1.2,1.34,1.34,25,12,28.16,28.29,27.97,-5.68,889.82,-23.52,-8.72,-0.56,4.33,5.77,0,0,23.3,10.2,3,2.1,2.1,-1.355555556
9.75,2.44,2.4,-2.45,-16.82,-5.7,0,-5.72,1025.76,-3.9,0.17,0.31,1.08,1.28,1.28,14.02,11,27.49,32.55,33.76,-7.06,891.81,-20.61,-8.38,-1.57,2.31,3.65,0,0,26.7,9.5,2.8,0.9,1,-0.244444444
9.74,2.31,2.3,-2.21,-18.08,-5.13,0,-5.78,1027.41,-5.1,0.3,0.22,0.99,1.25,1.26,25.58,6.74,24.28,33.36,34.54,-6.59,892.7,-20.98,-6.46,-0.94,2.77,3.95,0.08,0,23.9,11.1,2.3,0,0,4.644444444
8.7,2.15,2.2,-1.74,-18.09,-5.46,0,-5.48,1027.95,-5.11,0.67,0.24,1.06,1.19,1.2,56.34,7.88,27.31,34.35,34.73,-7.21,893.33,-20.74,-6.6,-1.54,2.78,3.87,0.23,0,20.9,10.3,3.6,1.3,1.2,3.922222222
7.95,1.49,1.5,-1.16,-18.13,-5.44,0,-5.53,1027.71,-5.33,0.81,0.31,1.06,1.19,1.19,62.69,9.5,26.02,39.18,39.3,-7.53,893.23,-20.01,-6.48,-1.18,3.12,4.29,3.52,0,19.4,9.7,3.2,0.9,1,0.444444444
5.97,1.25,1.3,-0.44,-18.46,-2.65,0,-5.44,1028.61,-3,1,0.28,1.14,1.16,1.16,78.25,8,27.31,34.8,34.27,-3.56,894.11,-20.12,-5.82,-0.83,3,4.15,8.44,0,15.9,8.7,4.1,0.8,0.9,-3.677777778
0,3.05,3,-3.67,-14.73,-4.95,0,0,1021.49,0,0.08,0.74,1.34,1.6,1.6,8.5,33,39.02,44.07,44.73,-4.85,887.42,-23.53,-10.82,-3.22,0.93,2.25,0,0,18.7,9.9,4.7,2,1.9,-0.777777778
13.96,2.82,2.8,-3.44,-14.75,-0.94,0,-4.95,1021.38,-1.09,0.1,0.52,1.38,1.45,1.46,11.5,21.5,33.57,30.76,29.99,1.36,888.46,-24,-9.87,-1.26,3.48,5,0,0,16.3,10.2,4.4,2.9,2.9,-0.255555556
12.91,2.56,2.6,-3.18,-15.55,0.18,0,-0.94,1020.23,0.25,0.22,0.47,1.33,1.43,1.43,26.5,19,29.8,26.82,26.33,1.95,888.33,-24.38,-9.66,0.12,5.06,6.56,0,0,18.4,10.5,4,2.8,2.8,-0.722222222
11.68,1.74,1.7,-2.27,-15.73,-3.96,0,-3.63,1022.62,0.17,0.24,0.33,1.26,1.43,1.43,27.06,12.5,29.74,30.81,30.46,-5.62,889.96,-23.96,-8.77,-0.84,4.06,5.5,0,0,20.4,10.6,2.7,2,2.1,-1.355555556
9.95,2.12,2.1,-2.64,-16.16,-5.8,0,-5.79,1026.3,-3.98,0.13,0.33,1.14,1.33,1.33,11,11.5,30.01,32.53,33.52,-7.14,892.13,-20.83,-8.69,-1.97,1.96,3.29,0,0,27.5,9.5,1.9,0.8,0.9,-0.244444444
9.65,2.08,2.1,-2.06,-17.47,-5.71,0,-5.94,1028.06,-5.59,0.27,0.24,1.19,1.34,1.34,23.12,8,30.19,37.01,37.81,-7.35,893.23,-20.69,-7.06,-1.92,2.3,3.38,0,0,24.4,10.1,1.3,0.3,0.4,4.644444444
